<anon> events\ACW.txt [province_event\option] (Line 1122, column 2) (Scope Country)
<anon> events\ACW.txt [province_event\option] (Line 1130, column 2) (Scope Country)
<anon> events\ACW.txt [province_event\option] (Line 1196, column 2) (Scope Country)
<anon> events\ACW.txt [province_event\option] (Line 1204, column 2) (Scope Country)
<anon> events\ACW.txt [province_event\option] (Line 1262, column 2) (Scope Country)
<anon> events\ACW.txt [province_event\option] (Line 1321, column 2) (Scope Country)
<anon> events\ACW.txt [province_event\option] (Line 1382, column 2) (Scope Country)
<anon> events\ACW.txt [province_event\option] (Line 1451, column 2) (Scope Country)
<anon> events\ACW.txt [province_event\option] (Line 1515, column 2) (Scope Country)
<anon> events\ACW.txt [province_event\option] (Line 1565, column 2) (Scope Country)
<anon> events\ACW.txt [province_event\option] (Line 1908, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 52, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 96, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 186, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 243, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 304, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 375, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 391, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 467, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 480, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 553, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 566, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 642, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 655, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 732, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 745, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 813, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 820, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 894, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 902, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 973, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1047, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1605, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1639, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1662, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1675, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1708, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1738, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1774, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1802, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1832, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1867, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1945, column 2) (Scope Country)
<anon> events\ACW.txt [country_event\option] (Line 1973, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 11, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 36, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 73, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 109, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 145, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 193, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 227, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 247, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 274, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 302, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 330, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 358, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 386, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 426, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 457, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 488, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 525, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 553, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 581, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 612, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 640, column 2) (Scope Country)
