EVTNAME91001; We took the naval blockade; X
EVTDESC91001; cost of imported goods increased by 2.5 times; X
EVTOPTA91001; Horror ;! X
EVTNAME91002; naval blockade lifted; X
EVTDESC91002; ; X
EVTOPTA91002; Excellent ;! X
EVTNAME91003; Opponent taken a naval blockade; X
EVTDESC91003; The value of imports increased by 2.5 times for him; X
EVTOPTA91003; Excellent ;! X
EVTNAME91004; The enemy broke through the naval blockade; X
EVTDESC91004; ; X
EVTOPTA91004; Horror ;! X
EVTNAME91005; crutch; X
EVTDESC91005; you can not have a stock of more than 2000 units of the mechanisms. ; X
EVTOPTA91005; Oak; X
EVTNAME96666; Imperialism; X
EVTDESC96666; technical, military, and cultural superiority of Western civilization over the rest of the world has reached an unprecedented separation. Now, nobody has the right to interfere with us to carry education and technology in the backward countries. Civilizing mission began. ; X
EVTOPTA96666; It's time to expand ;! X
EVTNAME100003; Mobilization ;! X
EVTDESC100003; for victory in the civil war on the South American continent, we need all available forces ;. X
EVTOPTA100003; Ur ;! X
EVTNAME99999; war; X
EVTDESC99999; Brazil is not going to join our Power ;! X
EVTOPTA99999; there is only one way out; X
EVTNAME100100; emissions; X
EVTDESC100100; Select volume; X
EVTOPTA100100; 10% of GDP; X
EVTOPTB100100; 25% of GDP; X
EVTOPTC100100; 50% of GDP; X
EVTNAME100101; devaluation; X
EVTDESC100101; Select volume; X
EVTOPTA100101; 10% of GDP; X
EVTOPTB100101; 25% of GDP; X
EVTOPTC100101; 50% of GDP; X
EVTNAME100102; small issue; X
EVTDESC100102; first stage; X
EVTNAME100103; small issue; X
EVTDESC100103; second stage; X
EVTNAME100104; small issue; X
EVTDESC100104; third stage; X
EVTNAME100105; average emissions; X
EVTDESC100105; first stage; X
EVTNAME100106; average emissions; X
EVTDESC100106; second stage; X
EVTNAME100107; average emissions; X
EVTDESC100107; third stage; X
EVTNAME100108; Major emissions; X
EVTDESC100108; first stage; X
EVTNAME100109; Major emissions; X
EVTDESC100109; second stage; X
EVTNAME100110; Major emissions; X
EVTDESC100110; third stage; X
EVTNAME100111; small devaluation; X
EVTDESC100111; first stage; X
EVTNAME100112; small devaluation; X
EVTDESC100112; second stage; X
EVTNAME100113; small devaluation; X
EVTDESC100113; third stage; X
EVTNAME100114; average devaluation; X
EVTDESC100114; first stage; X
EVTNAME100115; average devaluation; X
EVTDESC100115; second stage; X
EVTNAME100116; average devaluation; X
EVTDESC100116; third stage; X
EVTNAME100117; Major devaluation; X
EVTDESC100117; first stage; X
EVTNAME100118; Major devaluation; X
EVTDESC100118; second stage; X
EVTNAME100119; Major devaluation; X
EVTDESC100119; third stage; X
EVTNAME100120; monetary reform completed; X
EVTDESC100120; ; X
EVTNAME100400; foreign policy of Sardinia-Piedmont;
EVTDESC100400; You can choose between two versions of the unification of Italy, or encourage the development of the economy;
EVTOPTA100400; Suggest association under the terms of Confederation;
EVTOPTB100400; support the Red Shirts;
EVTOPTC100400; Postpone the issue, the country is not yet ready for it;
EVTNAME100401; Sardinia-Piedmont proposed merger on the terms of Confederation;
EVTDESC100401 ;;
EVTOPTA100401; Agree;
EVTOPTB100401; Takeout;
EVTNAME100402; Unification of Italy: the status of the Confederation;
EVTDESC100402; part of the Kingdom agree, but there were also those who are against. Now we need to select the next step;
EVTOPTA100402; Conquer dissenting kingdom;
EVTOPTB100402; support the Red Shirts;
EVTNAME100403; Unification of Italy: the reactionary alliance;
EVTDESC100403; Sardinia-Piedmont has established a confederation of Italian states and plans to expand their power on us;
EVTOPTA100403; reactionary forces must unite;
EVTNAME100404; Unification of Italy: the preparation for war;
EVTDESC100404 ;;
EVTOPTA100404 ;;
EVTNAME100405; Unification of Italy: the beginning of the war;
EVTDESC100405; Against us stands an alliance of reactionary forces;
EVTOPTA100405; Go for Italy!;
PolSys_start_1_title; state control panel; X
PolSys_start_1_desc; ; X
TITLE1000000; main bar; X
DESC1000000; ; X
OPTION1_1000000; population; X
OPTION2_1000000; State; X
TITLE1000001; population; X
DESC1000001; ; X
OPTION1_1000001; Limiting growth; X
OPTION2_1000001; Limiting growth in satellites; X
OPTION3_1000001; Internal Migration; X
OPTION4_1000001; Remove modifiers; X
TITLE1000002; State; X
DESC1000002; ; X
OPTION1_1000002; Paradigms; X
OPTION2_1000002; ; X
TITLE10000011; Limiting growth; X
DESC10000011; ; X
OPTION1_10000011; Europe; X
OPTION2_10000011; Asia; X
OPTION3_10000011; Africa; X
OPTION4_10000011; Sev. America; X
OPTION5_10000011; South. America; X
OPTION6_10000011; Oceania; X
OPTION7_10000011; Remove modifiers; X
TITLE10000012; Limiting growth in satellites; X
DESC10000012; ; X
OPTION1_10000012; Europe; X
OPTION2_10000012; Asia; X
OPTION3_10000012; Africa; X
OPTION4_10000012; Sev. America; X
OPTION5_10000012; South. America; X
OPTION6_10000012; Oceania; X
OPTION7_10000012; Remove modifiers; X
TITLE10000013; Internal Migration; X
DESC10000013; ; X
OPTION1_10000013; Europe; X
OPTION2_10000013; Asia; X
OPTION3_10000013; Africa; X
OPTION4_10000013; Sev. America; X
OPTION5_10000013; South. America; X
OPTION6_10000013; Oceania; X
OPTION7_10000013; Remove modifiers; X
TITLE10000021; State paradigm; X
DESC10000021; ; X
OPTION1_10000021; Military; X
OPTION2_10000021; ; X
TITLE100000111; Limiting growth in Europe; X
DESC100000111; ; X
OPTION1_100000111; teachers; X
OPTION2_100000111; Soldiers; X
OPTION3_100000111; Workers; X
OPTION4_100000111; Employees; X
OPTION5_100000111; servicer; X
OPTION6_100000111; Remove modifiers; X
TITLE100000112; Limiting growth in Asia; X
DESC100000112; ; X
OPTION1_100000112; teachers; X
OPTION2_100000112; Soldiers; X
OPTION3_100000112; Workers; X
OPTION4_100000112; Employees; X
OPTION5_100000112; servicer; X
OPTION6_100000112; Remove modifiers; X
TITLE100000113; Limiting growth in Africa; X
DESC100000113; ; X
OPTION1_100000113; teachers; X
OPTION2_100000113; Soldiers; X
OPTION3_100000113; Workers; X
OPTION4_100000113; Employees; X
OPTION5_100000113; servicer; X
OPTION6_100000113; Remove modifiers; X
TITLE100000114; limited growth in the North. America; X
DESC100000114; ; X
OPTION1_100000114; teachers; X
OPTION2_100000114; Soldiers; X
OPTION3_100000114; Workers; X
OPTION4_100000114; Employees; X
OPTION5_100000114; servicer; X
OPTION6_100000114; Remove modifiers; X
TITLE100000115; Limiting growth in South. America; X
DESC100000115; ; X
OPTION1_100000115; teachers; X
OPTION2_100000115; Soldiers; X
OPTION3_100000115; Workers; X
OPTION4_100000115; Employees; X
OPTION5_100000115; servicer; X
OPTION6_100000115; Remove modifiers; X
TITLE100000116; Limiting growth in Oceania; X
DESC100000116; ; X
OPTION1_100000116; teachers; X
OPTION2_100000116; Soldiers; X
OPTION3_100000116; Workers; X
OPTION4_100000116; Employees; X
OPTION5_100000116; servicer; X
OPTION6_100000116; Remove modifiers; X
TITLE100000121; Growth Restriction among satellites in Europe; X
DESC100000121; ; X
OPTION1_100000121; teachers; X
OPTION2_100000121; Soldiers; X
OPTION3_100000121; Workers; X
OPTION4_100000121; Employees; X
OPTION5_100000121; servicer; X
OPTION6_100000121 ;; X
TITLE100000122; Growth Restriction among satellites in Asia; X
DESC100000122; ; X
OPTION1_100000122; teachers; X
OPTION2_100000122; Soldiers; X
